surface,global_order,mode,mode_round,sample,ns
field,1,off,1,1,697826.156
field,1,off,1,2,348956.5
field,1,off,1,3,285781.938
field,1,off,1,4,330030.969
field,1,off,1,5,277408.062
field,1,off,1,6,519116.875
field,1,off,1,7,285542.594
field,2,on,1,1,640244.906
field,2,on,1,2,358269.438
field,2,on,1,3,531757.562
field,2,on,1,4,271596.312
field,2,on,1,5,367051.406
field,2,on,1,6,298205.094
field,2,on,1,7,266129.844
field,3,off,2,1,505998.438
field,3,off,2,2,279351.438
field,3,off,2,3,371735.094
field,3,off,2,4,278896.781
field,3,off,2,5,375916.562
field,3,off,2,6,281766.719
field,3,off,2,7,281343.906
field,4,on,2,1,497829.844
field,4,on,2,2,292620.25
field,4,on,2,3,344261.312
field,4,on,2,4,437530.844
field,4,on,2,5,452924.562
field,4,on,2,6,287196.281
field,4,on,2,7,386242.906
field,5,off,3,1,335687.094
field,5,off,3,2,763752.844
field,5,off,3,3,324163.281
field,5,off,3,4,344458.469
field,5,off,3,5,295132.375
field,5,off,3,6,343424.125
field,5,off,3,7,281621.094
field,6,on,3,1,606894.031
field,6,on,3,2,297232.938
field,6,on,3,3,283103.875
field,6,on,3,4,294591.125
field,6,on,3,5,397018.594
field,6,on,3,6,309032.062
field,6,on,3,7,310207.344
field,7,off,4,1,934381.625
field,7,off,4,2,312395.438
field,7,off,4,3,649960.0
field,7,off,4,4,399625.406
field,7,off,4,5,303207.531
field,7,off,4,6,293340.844
field,7,off,4,7,354947.344
field,8,on,4,1,796099.031
field,8,on,4,2,297017.938
field,8,on,4,3,382397.375
field,8,on,4,4,547018.469
field,8,on,4,5,427067.656
field,8,on,4,6,294823.625
field,8,on,4,7,277892.719
field,9,off,5,1,1163225.438
field,9,off,5,2,311177.312
field,9,off,5,3,607622.781
field,9,off,5,4,400865.406
field,9,off,5,5,285914.438
field,9,off,5,6,299167.281
field,9,off,5,7,600216.375
field,10,on,5,1,890303.844
field,10,on,5,2,512033.906
field,10,on,5,3,277143.375
field,10,on,5,4,648090.969
field,10,on,5,5,418915.0
field,10,on,5,6,318716.531
field,10,on,5,7,316022.844
msm,11,on,1,1,5658378.75
msm,11,on,1,2,2853024.5
msm,11,on,1,3,3099600.375
msm,11,on,1,4,2516711.625
msm,11,on,1,5,3164447.625
msm,11,on,1,6,2619328.375
msm,11,on,1,7,3549768.125
msm,12,off,1,1,2119759.125
msm,12,off,1,2,2377916.0
msm,12,off,1,3,1651483.0
msm,12,off,1,4,1507552.375
msm,12,off,1,5,2182735.25
msm,12,off,1,6,2813212.875
msm,12,off,1,7,2347214.125
msm,13,on,2,1,4215728.75
msm,13,on,2,2,2474750.125
msm,13,on,2,3,2905828.25
msm,13,on,2,4,2806488.0
msm,13,on,2,5,1688837.25
msm,13,on,2,6,1763986.75
msm,13,on,2,7,2266999.75
msm,14,off,2,1,2878701.375
msm,14,off,2,2,3279422.875
msm,14,off,2,3,2711313.875
msm,14,off,2,4,3260269.375
msm,14,off,2,5,1881950.5
msm,14,off,2,6,2482258.75
msm,14,off,2,7,3121801.25
msm,15,on,3,1,4038941.375
msm,15,on,3,2,2015945.125
msm,15,on,3,3,2502109.625
msm,15,on,3,4,1509943.5
msm,15,on,3,5,2377896.0
msm,15,on,3,6,2849852.125
msm,15,on,3,7,1944794.125
msm,16,off,3,1,2082792.375
msm,16,off,3,2,2141191.125
msm,16,off,3,3,3161270.25
msm,16,off,3,4,1888839.125
msm,16,off,3,5,2115103.0
msm,16,off,3,6,1767787.875
msm,16,off,3,7,2642760.375
msm,17,on,4,1,4240058.25
msm,17,on,4,2,2337283.125
msm,17,on,4,3,2134467.5
msm,17,on,4,4,2618788.25
msm,17,on,4,5,1626112.375
msm,17,on,4,6,1391496.0
msm,17,on,4,7,1882084.25
msm,18,off,4,1,3879771.125
msm,18,off,4,2,4736229.875
msm,18,off,4,3,2064141.5
msm,18,off,4,4,2349645.375
msm,18,off,4,5,2863833.0
msm,18,off,4,6,2276632.0
msm,18,off,4,7,1649585.5
msm,19,on,5,1,6748420.125
msm,19,on,5,2,3007407.5
msm,19,on,5,3,2557769.625
msm,19,on,5,4,1550275.25
