variant,round,sample,ns_per_call
baseline,1,1,3349937.375
baseline,1,2,1909885.625
baseline,1,3,1828913.500
baseline,1,4,1713621.000
baseline,1,5,2382776.750
baseline,1,6,2751382.625
baseline,1,7,1684530.375
modn,1,1,7602680.625
modn,1,2,1820479.875
modn,1,3,2302423.500
modn,1,4,2757680.000
modn,1,5,2057557.375
modn,1,6,1908480.625
modn,1,7,2096721.500
msmstack,1,1,5301428.375
msmstack,1,2,4122873.375
msmstack,1,3,3512306.500
msmstack,1,4,2515724.000
msmstack,1,5,2535947.250
msmstack,1,6,2558916.750
msmstack,1,7,3342458.750
msmstack,2,1,7098355.125
msmstack,2,2,2488223.125
msmstack,2,3,2924315.125
msmstack,2,4,2728079.500
msmstack,2,5,2511781.500
msmstack,2,6,3383750.500
msmstack,2,7,3919866.500
modn,2,1,2749481.375
modn,2,2,2529431.125
modn,2,3,2396357.750
modn,2,4,1985999.000
modn,2,5,1912499.375
modn,2,6,1954928.375
modn,2,7,2092376.625
baseline,2,1,4266775.375
baseline,2,2,3616729.250
baseline,2,3,3276004.000
baseline,2,4,2127158.500
baseline,2,5,2433659.375
baseline,2,6,2065943.500
baseline,2,7,3081881.875
modn,3,1,3980951.500
modn,3,2,3458838.750
modn,3,3,4746265.125
modn,3,4,2036361.625
modn,3,5,2888217.250
modn,3,6,2782053.250
modn,3,7,2528375.000
baseline,3,1,6240987.125
baseline,3,2,2844937.000
baseline,3,3,2314945.750
baseline,3,4,3240227.250
baseline,3,5,3914281.625
baseline,3,6,1836570.875
baseline,3,7,2413802.375
msmstack,3,1,4373920.625
msmstack,3,2,3175064.875
msmstack,3,3,3205810.500
msmstack,3,4,2189955.750
msmstack,3,5,2603840.750
msmstack,3,6,3442766.625
msmstack,3,7,3078627.000
baseline,4,1,4473269.625
baseline,4,2,3321856.750
baseline,4,3,2647786.125
baseline,4,4,2610864.375
baseline,4,5,2402187.500
baseline,4,6,2219070.250
baseline,4,7,2000661.125
msmstack,4,1,4765902.250
msmstack,4,2,3232223.625
msmstack,4,3,2523331.250
msmstack,4,4,1947964.750
msmstack,4,5,2231527.500
msmstack,4,6,2350211.250
msmstack,4,7,2472744.750
modn,4,1,3586329.875
modn,4,2,2300897.250
modn,4,3,2672650.625
modn,4,4,2108561.375
modn,4,5,1641693.750
modn,4,6,1819101.250
modn,4,7,1865449.000
msmstack,5,1,3391637.750
msmstack,5,2,2605572.000
msmstack,5,3,2574501.375
msmstack,5,4,2080653.250
msmstack,5,5,2576528.875
msmstack,5,6,2195114.500
msmstack,5,7,3194668.125
baseline,5,1,5852345.375
baseline,5,2,2458702.625
baseline,5,3,3623225.375
baseline,5,4,2724254.500
baseline,5,5,3012659.500
baseline,5,6,1995065.000
baseline,5,7,2425804.500
modn,5,1,2398031.500
modn,5,2,2104357.625
modn,5,3,2726723.125
modn,5,4,2136102.000
modn,5,5,1683755.375
modn,5,6,1990610.125
modn,5,7,1718280.875
